rank,score,paper_id,title,abstract,abstract_full,authors,year,retrieved_at,classifier_functions
0,0.9152517914772034,astro-ph/0101050,"NGC 3065: A Certified LINER With Broad, Variable Balmer Lines","Motivated by the X-ray properties of the galaxy NGC 3065, we have obtained
new optical spectra which reveal that it has a low-ionization nuclear
emission-line region (LINER) as well as broad Balmer emission lines,
establishing it as an active galactic nucleus. We also examined an older
spectrum from the CfA Redshift Survey which, lacking broad Balmer lines,
indicates that they appeared some time after 1980. Thus NGC 3065 joins the set
of LINERs with broad, variable Balmer lines, which includes such well-known
galaxies as NGC 1097 and M81. Inspired by the sometimes double-peaked profiles
of the variable Balmer lines in other LINERs, we speculate that the broad
Balmer lines of NGC 3065 also come from an accretion disk. We illustrate the
plausibility of this hypothesis by fitting a disk model to the observed
H$\alpha$ profile. We also estimate the mass of the central black hole as
(9+/-4) 10^7 M_sol from the properties of the host galaxy, which leads to the
conclusion that the accretion rate is only 2 10^{-4} times the Eddington value,
a property that appears to be common among LINERs. At such a low relative
accretion rate the inner accretion disk can turn into a vertically-extended ion
torus, which can illuminate the outer, thin disk and power the broad-line
emission. The reason for the sudden appearance of broad Balmer lines is an open
question, although we suggest two possible explanations: tidal disruption of a
star or a sudden transition in the structure of the accretion disk.","Motivated by the X-ray properties of the galaxy NGC 3065, we have obtained
new optical spectra which reveal that it has a low-ionization nuclear
emission-line region (LINER) as well as broad Balmer emission lines,
establishing it as an active galactic nucleus. We also examined an older
spectrum from the CfA Redshift Survey which, lacking broad Balmer lines,
indicates that they appeared some time after 1980. Thus NGC 3065 joins the set
of LINERs with broad, variable Balmer lines, which includes such well-known
galaxies as NGC 1097 and M81. Inspired by the sometimes double-peaked profiles
of the variable Balmer lines in other LINERs, we speculate that the broad
Balmer lines of NGC 3065 also come from an accretion disk. We illustrate the
plausibility of this hypothesis by fitting a disk model to the observed
H$\alpha$ profile. We also estimate the mass of the central black hole as
(9+/-4) 10^7 M_sol from the properties of the host galaxy, which leads to the
conclusion that the accretion rate is only 2 10^{-4} times the Eddington value,
a property that appears to be common among LINERs. At such a low relative
accretion rate the inner accretion disk can turn into a vertically-extended ion
torus, which can illuminate the outer, thin disk and power the broad-line
emission. The reason for the sudden appearance of broad Balmer lines is an open
question, although we suggest two possible explanations: tidal disruption of a
star or a sudden transition in the structure of the accretion disk.","Michael Eracleous, Jules P. Halpern",2001,2025-09-24T21:09:16,"Background, Motivation"
1,0.8445408344268799,astro-ph/0104151,A spectrophotometric atlas of Narrow-Line Seyfert 1 galaxies,"We have compiled a list of 83 objects classified as Narrow-Line Seyfert 1
galaxies (NLS1s) or known to have a broad Balmer component narrower than 2000
km/s. Out of these, 19 turned out to have been spectroscopically misidentified
in previous studies; only 64 of the selected objects are genuine NLS1s. We have
spectroscopically observed 59 of them and tried to characterize their Narrow
and Broad-Line Regions (NLR and BLR) by fitting the emission-lines with
Gaussian and/or Lorentzian profiles. In most cases, the broad Balmer components
are well fitted by a single Lorentzian profile. This has consequences
concerning their FWHMs and line ratios: when the broad Balmer components are
fitted with a Lorentzian, most narrow line regions have line ratios typical of
Seyfert 2s while, when a Gaussian profile isused for fitting the broad Balmer
components, the line ratios are widely scattered in the usual diagnostic
diagrams (Veilleux & Osterbrock 1987). We find that, in general, the [O III]
lines have a relatively narrow Gaussian profile (~ 200-500 km/s FWHM) with
often, in addition, a second broad (~ 500-1800 km/s FWHM), blueshifted Gaussian
component. We do not confirm that the [O III] lines are weak in NLS1s. As
previously suggested, there is a continuous transition of all properties
between NLS1s and classical Broad-Line Seyfert 1 Galaxies (BLS1s) and the limit
of 2000 km/s used to separate the two species is arbitrary; R_4570, the ratio
of the Fe II to the H_beta fluxes, could be a physically more meaningful
parameter to distinguish them. (abridged abstract)","We have compiled a list of 83 objects classified as Narrow-Line Seyfert 1
galaxies (NLS1s) or known to have a broad Balmer component narrower than 2000
km/s. Out of these, 19 turned out to have been spectroscopically misidentified
in previous studies; only 64 of the selected objects are genuine NLS1s. We have
spectroscopically observed 59 of them and tried to characterize their Narrow
and Broad-Line Regions (NLR and BLR) by fitting the emission-lines with
Gaussian and/or Lorentzian profiles. In most cases, the broad Balmer components
are well fitted by a single Lorentzian profile. This has consequences
concerning their FWHMs and line ratios: when the broad Balmer components are
fitted with a Lorentzian, most narrow line regions have line ratios typical of
Seyfert 2s while, when a Gaussian profile isused for fitting the broad Balmer
components, the line ratios are widely scattered in the usual diagnostic
diagrams (Veilleux & Osterbrock 1987). We find that, in general, the [O III]
lines have a relatively narrow Gaussian profile (~ 200-500 km/s FWHM) with
often, in addition, a second broad (~ 500-1800 km/s FWHM), blueshifted Gaussian
component. We do not confirm that the [O III] lines are weak in NLS1s. As
previously suggested, there is a continuous transition of all properties
between NLS1s and classical Broad-Line Seyfert 1 Galaxies (BLS1s) and the limit
of 2000 km/s used to separate the two species is arbitrary; R_4570, the ratio
of the Fe II to the H_beta fluxes, could be a physically more meaningful
parameter to distinguish them. (abridged abstract)","M. -P. Veron-Cetty, P. Veron, A. C. Goncalves",2001,2025-09-24T21:09:16,"Background, Motivation"
2,0.8436477184295654,astro-ph/0102460,"Variable line profiles due to non-axisymmetric patterns in an accretion
  disc around a rotating black hole","We have explored spectral line profiles due to spiral patterns in accretion
discs around black holes. A parametrization was employed for the shape and
emissivity of spiral waves, which can be produced by non-axisymmetric
perturbations affecting the disc density and ionization structure. The effects
of the light-travel time, energy shift, and gravitational focusing near to a
rotating black hole were taken into account. A high-resolution ray-tracing code
was used to follow the time variations of the synthetic line profile. A variety
of expected spectral features were examined and the scheme applied to a broad
iron line observed in MCG-6-30-15.","We have explored spectral line profiles due to spiral patterns in accretion
discs around black holes. A parametrization was employed for the shape and
emissivity of spiral waves, which can be produced by non-axisymmetric
perturbations affecting the disc density and ionization structure. The effects
of the light-travel time, energy shift, and gravitational focusing near to a
rotating black hole were taken into account. A high-resolution ray-tracing code
was used to follow the time variations of the synthetic line profile. A variety
of expected spectral features were examined and the scheme applied to a broad
iron line observed in MCG-6-30-15.","V. Karas, A. Martocchia, L. Subr",2001,2025-09-24T21:09:16,"Background, Motivation"
3,0.8392237424850464,astro-ph/0103351,"The Evolution of Balmer Absorption Line Strengths in E/S0 Galaxies from
  z=0 to z=0.83","We present new results from a systematic study of absorption line strengths
of galaxies in clusters approaching redshifts of unity. In this paper, we
specifically compare the strengths of the high-order Balmer absorption features
of Hgamma and Hdelta in E/S0s in the four clusters Abell 2256 (z=0.06),
CL1358+62 (z=0.33), MS2053--04 (z=0.58), and MS1054--03 (z=0.83). By comparing
the correlation of Balmer line strength with velocity dispersion for E/S0s in
the three clusters, we find moderate evolution in the zero-point of the
(Hdelta_A+Hgamma_A)-sigma relation with redshift. The trend is consistent with
passive evolution of old stellar populations. Under the assumption that the
samples can be compared directly, we use single-burst stellar population
synthesis models to constrain the last major occurrences of star-formation in
the observed E/S0s to be z_f > 2.5 (95% confidence). We have compared the
evolution of the Balmer absorption with the evolution of the B-band fundamental
plane and find that simple stellar population models agree very well with the
data. While the best agreement occurs with a low value for Omega_m, the data
provide strong confirmation of the time-evolution in recent stellar population
models.","We present new results from a systematic study of absorption line strengths
of galaxies in clusters approaching redshifts of unity. In this paper, we
specifically compare the strengths of the high-order Balmer absorption features
of Hgamma and Hdelta in E/S0s in the four clusters Abell 2256 (z=0.06),
CL1358+62 (z=0.33), MS2053--04 (z=0.58), and MS1054--03 (z=0.83). By comparing
the correlation of Balmer line strength with velocity dispersion for E/S0s in
the three clusters, we find moderate evolution in the zero-point of the
(Hdelta_A+Hgamma_A)-sigma relation with redshift. The trend is consistent with
passive evolution of old stellar populations. Under the assumption that the
samples can be compared directly, we use single-burst stellar population
synthesis models to constrain the last major occurrences of star-formation in
the observed E/S0s to be z_f > 2.5 (95% confidence). We have compared the
evolution of the Balmer absorption with the evolution of the B-band fundamental
plane and find that simple stellar population models agree very well with the
data. While the best agreement occurs with a low value for Omega_m, the data
provide strong confirmation of the time-evolution in recent stellar population
models.","Daniel D. Kelson, Garth D. Illingworth, Marijn Franx, Pieter G. van Dokkum",2001,2025-09-24T21:09:16,"Background, Motivation"
4,0.8381751775741577,astro-ph/0103368,"The ROSAT Deep Survey: VI. X-ray sources and Optical identifications of
  the Ultra Deep Survey","We describe in this paper the ROSAT Ultra Deep Survey (UDS), an extension of
the ROSAT Deep Survey (RDS) in the Lockman Hole. The UDS reaches a flux level
of 1.2 x 10E-15 erg/cm2/s in 0.5-2.0 keV energy band, a level ~4.6 times
fainter than the RDS. We present nearly complete spectroscopic identifications
(90%) of the sample of 94 X-ray sources based on low-resolution Keck spectra.
The majority of the sources (57) are broad emission line AGNs (type I), whereas
a further 13 AGNs show only narrow emission lines or broad Balmer emission
lines with a large Balmer decrement (type II AGNs) indicating significant
optical absorption. The second most abundant class of objects (10) are groups
and clusters of galaxies (~11%). Further we found five galactic stars and one
''normal'' emission line galaxy. Eight X-ray sources remain spectroscopically
unidentified. The photometric redshift determination indicates in three out of
the eight sources the presence of an obscured AGN in the range of 1.2 < z <
2.7. These objects could belong to the long-sought population of type 2 QSOs,
which are predicted by the AGN synthesis models of the X-ray background.
Finally, we discuss the optical and soft X-ray properties of the type I AGN,
type II AGN, and groups and clusters of galaxies, and the implications to the
X-ray backround.","We describe in this paper the ROSAT Ultra Deep Survey (UDS), an extension of
the ROSAT Deep Survey (RDS) in the Lockman Hole. The UDS reaches a flux level
of 1.2 x 10E-15 erg/cm2/s in 0.5-2.0 keV energy band, a level ~4.6 times
fainter than the RDS. We present nearly complete spectroscopic identifications
(90%) of the sample of 94 X-ray sources based on low-resolution Keck spectra.
The majority of the sources (57) are broad emission line AGNs (type I), whereas
a further 13 AGNs show only narrow emission lines or broad Balmer emission
lines with a large Balmer decrement (type II AGNs) indicating significant
optical absorption. The second most abundant class of objects (10) are groups
and clusters of galaxies (~11%). Further we found five galactic stars and one
''normal'' emission line galaxy. Eight X-ray sources remain spectroscopically
unidentified. The photometric redshift determination indicates in three out of
the eight sources the presence of an obscured AGN in the range of 1.2 < z <
2.7. These objects could belong to the long-sought population of type 2 QSOs,
which are predicted by the AGN synthesis models of the X-ray background.
Finally, we discuss the optical and soft X-ray properties of the type I AGN,
type II AGN, and groups and clusters of galaxies, and the implications to the
X-ray backround.","I. Lehmann, G. Hasinger, M. Schmidt, R. Giacconi, J. Truemper, G. Zamorani, J. E. Gunn, L. Pozzetti, D. P. Schneider, T. Stanke, G. Szokoly, D. Thompson, G. Wilson",2001,2025-09-24T21:09:16,"Background, Motivation"
5,0.8377175331115723,astro-ph/0101117,The Variable Diffuse Continuum Emission of Broad Line Clouds,"We investigate the wavelength-dependent intensity and reverberation
properties of the UV-optical diffuse continuum emission expected from broad
emission line gas. The locally optimally emitting clouds picture is adopted,
with the cloud distribution functions in gas density and distance from the
ionizing source determined by a fit to the mean UV emission line spectrum from
the 1993 HST campaign of NGC5548 in our previous paper. The model Balmer
continuum's strength and variability characteristics are in agreement with
those derived from the observations of NGC5548. A key prediction is a
wavelength dependent lag across the UV-optical spectrum which can broadly mimic
the signature from X-ray reprocessing in an accretion disk, calling into
question the discovery claims of the latter in NGC7469. The influence of the
diffuse continuum on the optical continuum may result in a small yet
significant underestimation of the characteristic sizes of the regions emitting
the optical emission lines. Its contribution can also alter the inferred
spectral energy distribution of the UV-optical continuum, even well outside the
spectral region near the well-known Balmer jump. The reverberation of the
diffuse continuum emitted by the BLR may account for perhaps one-third of the
observed effect that the 1350-5100 Angstrom continuum becomes bluer as it
becomes brighter (even after accounting for non-variable optical starlight).
And as in other models of the broad emission line gas, a significant yet
unobserved Lyman jump is predicted. (abridged)","We investigate the wavelength-dependent intensity and reverberation
properties of the UV-optical diffuse continuum emission expected from broad
emission line gas. The locally optimally emitting clouds picture is adopted,
with the cloud distribution functions in gas density and distance from the
ionizing source determined by a fit to the mean UV emission line spectrum from
the 1993 HST campaign of NGC5548 in our previous paper. The model Balmer
continuum's strength and variability characteristics are in agreement with
those derived from the observations of NGC5548. A key prediction is a
wavelength dependent lag across the UV-optical spectrum which can broadly mimic
the signature from X-ray reprocessing in an accretion disk, calling into
question the discovery claims of the latter in NGC7469. The influence of the
diffuse continuum on the optical continuum may result in a small yet
significant underestimation of the characteristic sizes of the regions emitting
the optical emission lines. Its contribution can also alter the inferred
spectral energy distribution of the UV-optical continuum, even well outside the
spectral region near the well-known Balmer jump. The reverberation of the
diffuse continuum emitted by the BLR may account for perhaps one-third of the
observed effect that the 1350-5100 Angstrom continuum becomes bluer as it
becomes brighter (even after accounting for non-variable optical starlight).
And as in other models of the broad emission line gas, a significant yet
unobserved Lyman jump is predicted. (abridged)","Kirk T. Korista, Michael R. Goad",2001,2025-09-24T21:09:16,"Background, Motivation"
6,0.8368037343025208,astro-ph/0103303,Size-Mass-luminosity relations in AGN and the role of the accretion disc,"We address the question of the relations between the black hole's mass, the
accretion rate, the bolometric luminosity, the optical luminosity and the size
of the Broad Line Region (BLR) in Active Galactic Nuclei, using recent
observational data obtained from monitoring campaigns. We show that a standard
accretion disc cannot account for the observed optical luminosity, unless it
radiates at super-Eddington rates. This implies the existence of another,
dominant emission mechanism in the optical range, or a non standard disc (non
stationary, ADAF and/or strong outflows). Narrow Line Seyfert 1 galaxies
(NLS1s) are most extreme in this context: they have larger bolometric to
Eddington luminosity ratios than Broad Line Seyfert 1 (BLS1s), and most likely
a larger ""non disc"" component in the optical range. From realistic simulations
of self-gravitating $\alpha$-discs, we have systematically localized the
gravitationally unstable disc and shown that, given uncertainties on both the
model and observations, it coincides quite well with the size of the BLR. We
therefore suggest that the gravitationally unstable disc is the source which
releases BLR clouds in the medium. However the influence of the ionization
parameter is also required to explain the correlation found between the size of
the BLR and the luminosity. In this picture the size of the BLR in NLS1s
(relative to the black hole size) is larger (and the emission line width
smaller) than in BLS1s simply because their Eddington ratio is larger.","We address the question of the relations between the black hole's mass, the
accretion rate, the bolometric luminosity, the optical luminosity and the size
of the Broad Line Region (BLR) in Active Galactic Nuclei, using recent
observational data obtained from monitoring campaigns. We show that a standard
accretion disc cannot account for the observed optical luminosity, unless it
radiates at super-Eddington rates. This implies the existence of another,
dominant emission mechanism in the optical range, or a non standard disc (non
stationary, ADAF and/or strong outflows). Narrow Line Seyfert 1 galaxies
(NLS1s) are most extreme in this context: they have larger bolometric to
Eddington luminosity ratios than Broad Line Seyfert 1 (BLS1s), and most likely
a larger ""non disc"" component in the optical range. From realistic simulations
of self-gravitating $\alpha$-discs, we have systematically localized the
gravitationally unstable disc and shown that, given uncertainties on both the
model and observations, it coincides quite well with the size of the BLR. We
therefore suggest that the gravitationally unstable disc is the source which
releases BLR clouds in the medium. However the influence of the ionization
parameter is also required to explain the correlation found between the size of
the BLR and the luminosity. In this picture the size of the BLR in NLS1s
(relative to the black hole size) is larger (and the emission line width
smaller) than in BLS1s simply because their Eddington ratio is larger.","Suzy Collin, Jean-Marc Hure",2001,2025-09-24T21:09:16,"Background, Motivation"
7,0.8365954756736755,astro-ph/0102228,The evolution of emission lines in HII galaxies,"We constructed diagnostic diagrams using emission line ratios and equivalent
widths observed in several samples of HII galaxies. The diagrams are compared
to predictions from new photoionization models for evolving starbursts. We find
that HII galaxies from objective-prism surveys are not reproduced by models of
instantaneous starbursts surrounded by constant density, ionization bounded HII
regions. The observed relations between emission line ratios and Hb equivalent
width (W(Hb)) can be understood if older stellar populations are not negligible
in HII galaxies. Also, different dust obscuration for stars and gas and leakage
of Lyman continuum photons from the observed HII regions can be important. As a
result, HII galaxies selected from objective-prism surveys are unlikely to
contain many objects in which the most recent starburst is older than about
5~Myr. The observed increase of [OI]/Hb with decreasing W(Hb) can result from
the dynamical effects of winds and supernovae. This interpretation provides
also a natural explanation of the small range of ionization parameters in giant
HII regions. The [OIII]/Hb vs [OII]/Hb diagnostic diagram cannot be fully
understood in terms of pure photoionization models and indicate the need for
additional heating sources. The [NII]/[OII] ratio is shown to increase as W(Hb)
decreases. A possible explanation is an N/O increase due to gradual enrichment
by winds from Wolf-Rayet stars on a time scale of 5 Myr. (abridged abstract)","We constructed diagnostic diagrams using emission line ratios and equivalent
widths observed in several samples of HII galaxies. The diagrams are compared
to predictions from new photoionization models for evolving starbursts. We find
that HII galaxies from objective-prism surveys are not reproduced by models of
instantaneous starbursts surrounded by constant density, ionization bounded HII
regions. The observed relations between emission line ratios and Hb equivalent
width (W(Hb)) can be understood if older stellar populations are not negligible
in HII galaxies. Also, different dust obscuration for stars and gas and leakage
of Lyman continuum photons from the observed HII regions can be important. As a
result, HII galaxies selected from objective-prism surveys are unlikely to
contain many objects in which the most recent starburst is older than about
5~Myr. The observed increase of [OI]/Hb with decreasing W(Hb) can result from
the dynamical effects of winds and supernovae. This interpretation provides
also a natural explanation of the small range of ionization parameters in giant
HII regions. The [OIII]/Hb vs [OII]/Hb diagnostic diagram cannot be fully
understood in terms of pure photoionization models and indicate the need for
additional heating sources. The [NII]/[OII] ratio is shown to increase as W(Hb)
decreases. A possible explanation is an N/O increase due to gradual enrichment
by winds from Wolf-Rayet stars on a time scale of 5 Myr. (abridged abstract)","Grazyna Stasinska, Daniel Schaerer, Claus Leitherer",2001,2025-09-24T21:09:16,"Background, Motivation"
8,0.8365707397460938,astro-ph/0104300,"The discriminating power of wavelets to detect non-Gaussianity in the
  CMB","We investigate the power of wavelet techniques in detecting non-Gaussianity
in the cosmic microwave background (CMB). We use the method to discriminate
between an inflationary and a cosmic strings model using small simulated
patches of the sky. We show the importance of the choice of a good test
statistic in order to optimise the discriminating power of the wavelet
technique. In particular, we construct the Fisher discriminant function, which
combines all the information available in the different wavelet scales. We also
compare the performance of different decomposition schemes and wavelet bases.
For our case, we find that the Mallat and {\it \`a trous} algorithms are
superior to the 2D-tensor wavelets. Using this technique, the inflationary and
strings models are clearly distinguished even in the presence of a superposed
Gaussian component with twice the rms amplitude of the original cosmic string
map.","We investigate the power of wavelet techniques in detecting non-Gaussianity
in the cosmic microwave background (CMB). We use the method to discriminate
between an inflationary and a cosmic strings model using small simulated
patches of the sky. We show the importance of the choice of a good test
statistic in order to optimise the discriminating power of the wavelet
technique. In particular, we construct the Fisher discriminant function, which
combines all the information available in the different wavelet scales. We also
compare the performance of different decomposition schemes and wavelet bases.
For our case, we find that the Mallat and {\it \`a trous} algorithms are
superior to the 2D-tensor wavelets. Using this technique, the inflationary and
strings models are clearly distinguished even in the presence of a superposed
Gaussian component with twice the rms amplitude of the original cosmic string
map.","R. B. Barreiro, M. P. Hobson",2001,2025-09-24T21:09:16,"Background, Motivation"
9,0.8360595107078552,astro-ph/0104453,"Chandra Detects a Rapid Flare in the Gravitationally Lensed Mini-BALQSO
  RX J0911.4+0551","The mini Broad Absorption Line (BAL) quasar RX J0911.4+0551 was observed with
the Advanced CCD Imaging Spectrometer (ACIS) of the Chandra X-ray Observatory
for ~ 29 ks as part of a gravitational lens (GL) survey aimed at measuring
time-delays. Timing analysis of the light-curve of the lensed image A2 shows a
rapid flux variation with a duration of about 2000s. A Kolmogorov-Smirnov test
shows that the probability that a constant-intensity source would produce the
observed variability is less than ~ 0.2 percent. We discuss possible origins
for the observed short-term X-ray variability. Our gravitational lens models
for the RX J0911.4+0551 GL system predict a time-delay of less than a day
between images A1 and A2. The rapid variability combined with the predicted
short-time delay make RX J0911.4+0551 an ideal system to apply the GL method
for estimating the Hubble constant. We describe the prospects of measuring H_0
within single X-ray observations of GL systems with relatively short time
delays. Modeling of the spectrum of the mini-BAL quasar RX J0911.4+0551
suggests the presence of an intrinsic absorber. Partial covering models are
slightly preferred over models that contain absorption due to intrinsic ionized
or neutral gas.","The mini Broad Absorption Line (BAL) quasar RX J0911.4+0551 was observed with
the Advanced CCD Imaging Spectrometer (ACIS) of the Chandra X-ray Observatory
for ~ 29 ks as part of a gravitational lens (GL) survey aimed at measuring
time-delays. Timing analysis of the light-curve of the lensed image A2 shows a
rapid flux variation with a duration of about 2000s. A Kolmogorov-Smirnov test
shows that the probability that a constant-intensity source would produce the
observed variability is less than ~ 0.2 percent. We discuss possible origins
for the observed short-term X-ray variability. Our gravitational lens models
for the RX J0911.4+0551 GL system predict a time-delay of less than a day
between images A1 and A2. The rapid variability combined with the predicted
short-time delay make RX J0911.4+0551 an ideal system to apply the GL method
for estimating the Hubble constant. We describe the prospects of measuring H_0
within single X-ray observations of GL systems with relatively short time
delays. Modeling of the spectrum of the mini-BAL quasar RX J0911.4+0551
suggests the presence of an intrinsic absorber. Partial covering models are
slightly preferred over models that contain absorption due to intrinsic ionized
or neutral gas.","G. Chartas, X. Dai, S. C. Gallagher, G. P. Garmire, M. W. Bautz, P. L. Schechter, N. D. Morgan",2001,2025-09-24T21:09:16,"Background, Motivation"
