rank,paper_id,title,year,authors,abstract,score,cosine,title_matches,abs_matches,query_terms_used,classifier_functions,retrieval_error,retrieved_at
0,astro-ph/0102090,"Internal color gradients and the color-magnitude relation of early-type
  galaxies",2001,Marco Scodeggio,"The traditional use of fixed apertures in determining the well known
color-magnitude (CM) relation of early type galaxies, coupled with the presence
of radial color gradients within these systems, introduces a bias in the CM
relation itself. The effect of this bias is studied here deriving a CM relation
which is based on color measurements carried out homogeneously within an
aperture of radius equal to that of the galaxy effective radius. A sample of 48
giant early-type galaxies in the Coma cluster, with CCD observations in the U-
and V-band, is used for this derivation. It is found that internal radial color
gradients in early-type galaxies cannot be neglected when discussing the colors
of these systems, and that the CM relation derived using color measurements
within the effective radius is significantly flatter than those based on
fixed-aperture color measurements. With the presently available data it is
impossible to determine whether the relation is completely flat, or whether a
small correlation is still present between galaxy color and luminosity.",1.0,0.8978575468063354,"color, early, galaxies, magnitude, relation, type","apertures, bias, color, determining, early, fixed, galaxies, magnitude, relation, type","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
1,astro-ph/0104084,On the Origin of the Colour-Magnitude Relation in the Virgo Cluster,2001,Alexandre VazdekisHarald KuntschnerRoger L. DaviesNobuo ArimotoOsamu NakamuraReynier Peletier,"We explore the origin of the colour-magnitude relation (CMR) of early type
galaxies in the Virgo cluster using spectra of very high S/N ratio for six
elliptical galaxies selected along the CMR. The data are analysed using a new
evolutionary stellar population synthesis model to generate galaxy spectra at
the resolution given by their velocity dispersions. In particular we use a new
age indicator that is virtually free of the effects of metallicity. We find
that the luminosity weighted mean ages of Virgo ellipticals are greater than ~8
Gyr, and show no clear trend with galaxy luminosity. We also find a positive
correlation of metallicity with luminosity, colour and velocity dispersion. We
conclude that the CMR is driven primarily by a luminosity-metallicity
correlation. However, not all elements increase equally with the total
metallicity and we speculate that the CMR may be driven by both a total
metallicity increase and by a systematic departure from solar abundance ratios
of some elements along the CMR. A full understanding of the role played by the
total metallicity, abundance ratios and age in generating the CMR requires the
analysis of spectra of very high quality, such as those reported here, for a
larger number of galaxies in Virgo and other clusters.",0.4066191017627716,0.8685129284858704,"magnitude, relation","early, galaxies, magnitude, relation, type","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
2,astro-ph/0102393,On the estimation of galaxy structural parameters: the Sersic Model,2001,Ignacio TrujilloAlister W. GrahamNicola Caon,"This paper addresses some questions which have arisen from the use of the
S\'ersic r^{1/n} law in modelling the luminosity profiles of early type
galaxies. The first issue deals with the trend between the half-light radius
and the structural parameter n. We show that the correlation between these two
parameters is not only real, but is a natural consequence from the previous
relations found to exist between the model-independent parameters: total
luminosity, effective radius and effective surface brightness. We also define a
new galaxy concentration index which is largely independent of the image
exposure depth, and monotonically related with n. The second question concerns
the curious coincidence between the form of the Fundamental Plane and the
coupling between <I>_e and r_e when modelling a light profile. We explain,
through a mathematical analysis of the S\'ersic law, why the quantity
r_e<I>_e^{0.7} appears almost constant for an individual galaxy, regardless of
the value of n (over a large range) adopted in the fit to the light profile.
Consequently, Fundamental Planes of the form r_e<I>_e^{0.7} propto sigma_0^x
(for any x, and where sigma_0 is the central galaxy velocity dispersion) are
insensitive to galaxy structure. Finally, we address the problematic issue of
the use of model-dependent galaxy light profile parameters versus
model-independent quantities for the half-light radii, mean surface brightness
and total galaxy magnitude. The former implicitly assume that the light profile
model can be extrapolated to infinity, while the latter quantities, in general,
are derived from a signal-to-noise truncated profile. We quantify
(mathematically) how these parameters change as one reduces the outer radius of
an r^{1/n} profile, and reveal how these can vary substantially when n>4.",0.29948365688323975,0.8632147312164307,,"early, galaxies, magnitude, previous, type","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
3,astro-ph/0103092,The evolution of the galaxy distribution,2001,A. J. BensonC. S. FrenkC. M. BaughS. ColeC. G. Lacey,"We follow the evolution of the galaxy population in a Lambda-CDM cosmology by
means of high-resolution N-body simulations in which the formation of galaxies
and their observable properties are calculated using a semi-analytic model. We
display images of the spatial distribution of galaxies in the simulations that
illustrate its evolution and provide a qualitative understanding of the
processes responsible for various biases that develop. We consider three
specific statistical measures of clustering at z=1 and z=0: the correlation
length (in real- and redshift-space) of galaxies of different luminosity, the
morphology-density relation and the genus curve of the topology of galaxy
isodensity surfaces. For galaxies with luminosity below L*, the z=0 correlation
length depends very little on the luminosity of the sample, but for brighter
galaxies it increases very rapidly, reaching values in excess of 10Mpc/h. The
""accelerated"" dynamical evolution experienced by galaxies in rich clusters,
which is partly responsible for this effect, also results in a strong
morphology-density relation. Remarkably, this relation is already
well-established at z=1. The genus curves of the galaxies are significantly
different from the genus curves of the dark matter but this is not due to
genuine topological differences but rather to the sparse sampling of the
density field provided by galaxies. The predictions of our model at z=0 will be
tested by forthcoming data from the 2dF and Sloan galaxy surveys, and those at
z=1 by the DEEP and VIRMOS surveys.",0.28353309631347656,0.8624259233474731,,"galaxies, relation","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
4,astro-ph/0102214,"The Tolman Surface Brightness Test for the Reality of the Expansion. II.
  The Effect of the Point-Spread Function and Galaxy Ellipticity on the Derived
  Photometric Parameters",2001,Lori M. LubinAllan Sandage,"To complete the Tolman surface brightness test on the reality of the
expansion of the Universe, we need to measure accurately the surface brightness
profiles of the high-redshift galaxy sample. We, therefore, investigate the
effects of various sizes of point-spread-functions composed of telescope
diffraction, CCD pixel resolutions, and ground-based seeing on the measurements
of mean surface brightness. We have done the calculations using two synthetic
galaxies of effective radii of 0.70"" and 0.25"" with point-spread functions of
0.1, 0.3, and 0.9 arcseconds. We have also compared actual observations of
three high-redshift galaxies in the cluster Cl 1324 + 3011 (z = 0.76) made both
with the Keck telescopes in seeing of about 0.9"" and with HST which has a PSF
that is approximately ten times smaller. The conclusion is that HST data can be
used as far into the galaxy image as a Petrosian metric radius of eta = 1.3
magnitudes, whereas the ground-based data will have systematic errors of up to
2.9 magnitudes in the mean surface brightness at eta values of less than 2.2
magnitudes. In the final section, we compare the differences in derived average
surface brightness for nearly circular galaxy images compared with highly
flattened images. The comparison is made by using the two reduction procedures
of (1) integrating the profile curves using circular apertures, and (2)
approximating an ``equivalent circular'' galaxy that is highly elongated by
using an ``effective'' radius of sqrt{ab}, where a and b are the semi-major and
semi-minor axis, respectively, of the best-fitting ellipse. The conclusion is
that the two methods of reduction give nearly identical results and that either
method can be used to analyze the low and high-redshift galaxy samples used in
the Tolman test.",0.28043070435523987,0.8622725009918213,,"apertures, galaxies","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
5,astro-ph/0102260,"Surface Photometric Calibration of the Infrared Tully-Fisher Relation
  Using Cepheid-based Distances of Galaxies",2001,Masaru WatanabeNaoki YasudaNobunari Itoh,"Infrared J and H surface photometry are carried out for nearby 12 galaxies
whose distances have been accurately measured via HST Cepheid observations.
Using the total, isophotal, and surface-photometric aperture magnitudes we
calibrate the infrared luminosity-line width relation (IRTF). It is found that
IRTF changes its slope at log W_{20}^c=2.45 in all the examined magnitude
systems. The apparent scatter of IRTF is not significantly reduced when surface
photometric magnitudes are used instead of the conventionally used synthetic
aperture magnitude H_{-0.5}. It is also shown that the color (I-H)_T of the
nearby calibrator galaxies is redder by 0.2mag than the Coma cluster galaxies,
but such a trend is not clearly visible for the Ursa Major mostly because of
poor statistics. The color offset of the Coma is analogous to that previously
found in I_T-H_{-0.5}. From the present calibration of H-band IRTF, we obtain
the distance to the Coma cluster to be m-M=34.94 +/- 0.13mag, where no account
is taken of the I-H color problem. Using the CMB-rest recession velocity of the
Coma cluster we obtain H_0=73 +/- 4 km/s/Mpc.",0.23782916367053986,0.8601657152175903,"galaxies, relation","color, galaxies, magnitude, relation","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
6,astro-ph/0102358,The cosmological evolution of colour gradients in spheroids,2001,Amancio FriacaRoberto Terlevich,"The analysis of the four-colour maps of galaxies in the Hubble Deep Field has
revealed in the sample of 0.4<z<1 early-type field galaxies the existence of
ellipticals with a predominantly old coeval stellar population. However, there
is another, unexpected, category of HDF early-type galaxies, in which the
galaxy core is significantly bluer than the outer regions. We demonstrate that
these colour gradients are predicted by the multi-zone chemodynamical model for
the evolution of elliptical galaxies. We suggest that the colour gradient could
be used as a chronometer of the evolution of elliptical galaxies: galaxies
younger than a few Gyr exhibit cores bluer than the surrounding galaxy, due to
ongoing star formation, while more evolved galaxies have redder cores, due to
metallicity gradients increasing towards the centre.",0.22045756876468658,0.8593066334724426,,"early, galaxies, type","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
7,astro-ph/0101472,Cosmological History of Stars and Metals,2001,R. SadatB. GuiderdoniJ Silk,"We study the evolution of stellar content and the chemical enrichment of the
universe averaged over the whole population of galaxies by means of a series of
chemo-spectrophotometric models that take into account the metallicity and dust
obscuration effects. We investigate various classes of cosmic star formation
rates (CSFR) histories consistent with current estimations. We are able to
reproduce a variety of observational constraints such as the emissivities at
rest-frame 0.44, 25, 60 and 100 $\mu$m of the local universe and also the
overall shape of the extragalactic background light from UV/NIR galaxy counts
and the cosmic infrared background (CIB) from DIRBE/FIRAS measurements. We find
that the CIB at 140 $\mu$m is crucial for discriminating between the CSFR
histories. The best-fit model to this constraint seems to favour mid-infrared
derived CSFR at low-$z$ and a flat CSFR at higher $z$ consistent with the most
recent estimations, although the shape of the CSFR at high redshifts has little
impact on the FIR/submm part of extragalactic background. We suggest that the
bulk of the CIB energy is produced by a population of moderately obscured
normal galaxies lying at $0\le z \le 1$. We then derive the global chemical
enrichment and stellar content of the universe and find that this model
predicts metallicities in good agreement with the metallicity in DLAs given
that some outflow of metal-enriched gas from galaxies is assumed, but it
overproduces the current present-day stellar mass density and NIR luminosity
density.",0.19816967844963074,0.8582044243812561,,galaxies,"bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
8,astro-ph/0104284,"Deep near-IR observations of the Chandra Deep Field and of the HDF-South
  - Color and Number Counts",2001,P. SaraccoE. GiallongoS. CristianiS. D'OdoricoA. FontanaA. IovinoF. PoliE. Vanzella,"We present near-IR (J and Ks) number counts and colors of galaxies detected
in deep VLT-ISAAC images centered on the Chandra Deep Field and Hubble Deep
Field-South for a total area of 13.6 arcmin$^2$. The limiting surface
brightness obtained is Ks$\simeq$22.8 mag/arcsec$^2$ and J$\simeq$24.5
(1$\sigma$) on both fields. A d$log$N/dm relation with a slope of $\sim0.34$ in
J and $\sim0.28$ in Ks is found in both fields with no evidence of decline near
the magnitude limit. The median J-Ks color of galaxies becomes bluer at
magnitudes fainter than Ks$\sim18$, in agreement with the different number
counts slope observed in the two bands. We find a fraction ($\le5%$ of the
total sample) of sources with color redder than J-Ks=2.3 at magnitudes Ks$>20$.
Most of them appear as isolated sources, possibly elliptical or dusty starburst
galaxies at redshift $z>2$. The comparison of the observed number counts with
models shows that our J-band and Ks-band counts are consistent with the
prediction of a model based on a small amount of merging in a $\Omega=1$
cosmology. On the other hand, we fail to reproduce the observed counts if we do
not consider merging independently of the parameters defining the universe.",0.19043423235416412,0.8578218817710876,color,"color, galaxies, magnitude, relation","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
9,astro-ph/0101544,Dark energy and the epoch of galaxy formation,2001,J. S. AlcanizJ. A. S. Lima,"The influence of a dark component on the first epoch of galaxy formation is
analysed by using the ages of the three oldest high-redshift galaxies known in
the literature. Our results, based on a spatially flat accelerated Universe
driven by a ""quintessence"" component ($p_x = \omega\rho_x$), show that if the
inferred ages of these objects are correct the first formation era is pushed
back to extremely high redshifts. For the present best-fit quintessence model
($\Omega_{x}= 0.7$, $\omega < -0.6$), we find a lower bound of $z_f \geq 7.7$,
whereas in the extreme case of $\Lambda$CDM model ($\omega = -1$) the limit is
slightly smaller ($z_f \geq 5.8$). The case for open cold dark matter models
(OCDM) has also been discussed. For $\Omega_m \simeq 0.3$, the formation
redshift is restricted by $z_f \geq 18$. As a general result, if $\Omega_m \geq
0.37$, these galaxies are not formed in FRW cosmologies with no dark energy
since for all these cases $z_f \to \infty$.",0.186966672539711,0.8576503992080688,,galaxies,"bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
10,astro-ph/0104162,Early-universe constraints on a Primordial Scaling Field,2001,Rachel BeanSteen H. HansenAlessandro Melchiorri,"In the past years 'quintessence' models have been considered which can
produce the accelerated expansion in the universe suggested by recent
astronomical observations. One of the key differences between quintessence and
a cosmological constant is that the energy density in quintessence,
$\Omega_\phi$, could be a significant fraction of the overall energy even in
the early universe, while the cosmological constant will be dynamically
relevant only at late times. We use standard Big Bang Nucleosynthesis and the
observed abundances of primordial nuclides to put constraints on $\Omega_\phi$
at temperatures near $T \sim 1MeV$. We point out that current experimental data
does not support the presence of such a field, providing the strong constraint
$\Omega_\phi(MeV) < 0.045$ at $2\sigma$ C.L. and strengthening previous
results. We also consider the effect a scaling field has on CMB anisotropies
using the recent data from Boomerang and DASI, providing the CMB constraint
$\Omega_\phi \le 0.39$ at $2\sigma$ during the radiation dominated epoch.",0.15456654131412506,0.8560481071472168,early,"early, previous","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
11,astro-ph/0103364,The radio galaxy K-z relation to z ~ 4.5,2001,Matt J. JarvisSteve RawlingsSteve EalesKatherine M. BlundellChris J. Willott,"Using a new radio sample, 6C* designed to find radio galaxies at z > 4 along
with the complete 3CRR and 6CE sample we extend the radio galaxy K-z relation
to z~4.5. The 6C* K-z data significantly improve delineation of the K-z
relation for radio galaxies at high redshift (z > 2). Accounting for
non-stellar contamination, and for correlations between radio luminosity and
estimates of stellar mass, we find little support for previous claims that the
underlying scatter in the stellar luminosity of radio galaxies increases
significantly at z > 2. This indicates that we are not probing into the
formation epoch until at least z > 3.",0.14505332708358765,0.8555776476860046,relation,"extend, galaxies, previous, relation","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
12,astro-ph/0102213,"The Tolman Surface Brightness Test for the Reality of the Expansion. I.
  Calibration of the Necessary Local Parameters",2001,Allan SandageLori M. Lubin,"The extensive CCD photometry by Postman & Lauer (1995, ApJ, 440, 28) in the
Cape/Cousins R photometric band for first ranked cluster elliptical and S0
galaxies in 118 low redshift clusters is analyzed for the correlations between
average surface brightness, linear radius, and absolute magnitude. The purpose
is to calibrate the correlations between these three parameters in the limit of
zero redshift. These local correlations provide the comparisons to be made in
Paper IV with the sample of early-type galaxies at high redshift in search of
the Tolman surface brightness signal of (1 + z)^4 if the expansion is real.
Surface brightness averages are calculated at various metric radii in each
galaxy in the sample. The definition of such radii by Petrosian (1976, ApJ,
209, L1) uses ratios of observed surface photometric data. The observed surface
brightnesses are listed for 118 first ranked cluster galaxies at Petrosian eta
radii of 1.0, 1.3, 1.5, 1.7, 2.0, and 2.5 mag. The three local diagnostic
correlation diagrams are defined and discussed. We review the Tolman test and
show that, although recipes from the standard cosmological model that already
have the Tolman signal incorporated are required to calculate linear radii and
absolute magnitudes from the observed data, the test is nevertheless free from
the hermeneutical circularity dilemma occasionally claimed in the literature.
The reasons are the observed mean surface brightness (1) is independent of any
assumptions of cosmological model, (2) does not depend on the existence of a
Tolman signal because it is calculated directly from the data using only
angular radii and apparent magnitudes, and (3) can be used to search for the
Tolman signal because it carries the bulk of that signal.",0.1420244723558426,0.8554278612136841,,"early, galaxies, magnitude, type","bias, introduced, fixed, apertures, determining, color, magnitude, relation, early, type, galaxies, motivate, extend, previous, studies, topic","Motivation, Extends",,2025-09-15T14:25:10.823959
